,C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
144452,R168A,R168,00-00-02,96 ST,123,IRT,06/21/2020,01:00:00,REGULAR,143333,92057
144489,R168A,R168,00-02-00,96 ST,123,IRT,06/20/2020,05:00:00,REGULAR,6668197,7897545
144490,R168A,R168,00-02-00,96 ST,123,IRT,06/20/2020,09:00:00,REGULAR,6668210,7897580
144491,R168A,R168,00-02-00,96 ST,123,IRT,06/20/2020,13:00:00,REGULAR,6668232,7897632
144492,R168A,R168,00-02-00,96 ST,123,IRT,06/20/2020,17:00:00,REGULAR,6668261,7897692
144493,R168A,R168,00-02-00,96 ST,123,IRT,06/20/2020,21:00:00,REGULAR,6668273,7897717
144494,R168A,R168,00-02-00,96 ST,123,IRT,06/21/2020,01:00:00,REGULAR,6668278,7897741
144531,R168A,R168,00-03-00,96 ST,123,IRT,06/20/2020,05:00:00,REGULAR,4664817,10439127
144532,R168A,R168,00-03-00,96 ST,123,IRT,06/20/2020,09:00:00,REGULAR,4664837,10439178
144533,R168A,R168,00-03-00,96 ST,123,IRT,06/20/2020,13:00:00,REGULAR,4664868,10439242
144534,R168A,R168,00-03-00,96 ST,123,IRT,06/20/2020,17:00:00,REGULAR,4664923,10439338
144535,R168A,R168,00-03-00,96 ST,123,IRT,06/20/2020,21:00:00,REGULAR,4664936,10439407
144536,R168A,R168,00-03-00,96 ST,123,IRT,06/21/2020,01:00:00,REGULAR,4664944,10439438
144573,R168A,R168,00-03-01,96 ST,123,IRT,06/20/2020,05:00:00,REGULAR,4165177,5251140
144574,R168A,R168,00-03-01,96 ST,123,IRT,06/20/2020,09:00:00,REGULAR,4165214,5251173
144575,R168A,R168,00-03-01,96 ST,123,IRT,06/20/2020,13:00:00,REGULAR,4165299,5251236
144576,R168A,R168,00-03-01,96 ST,123,IRT,06/20/2020,17:00:00,REGULAR,4165433,5251306
144577,R168A,R168,00-03-01,96 ST,123,IRT,06/20/2020,21:00:00,REGULAR,4165485,5251355
144578,R168A,R168,00-03-01,96 ST,123,IRT,06/21/2020,01:00:00,REGULAR,4165514,5251397
144615,R168A,R168,00-03-02,96 ST,123,IRT,06/20/2020,05:00:00,REGULAR,12195731,11769883
144616,R168A,R168,00-03-02,96 ST,123,IRT,06/20/2020,09:00:00,REGULAR,12195731,11769904
144617,R168A,R168,00-03-02,96 ST,123,IRT,06/20/2020,13:00:00,REGULAR,12195733,11769928
144618,R168A,R168,00-03-02,96 ST,123,IRT,06/20/2020,17:00:00,REGULAR,12195739,11769959
144619,R168A,R168,00-03-02,96 ST,123,IRT,06/20/2020,21:00:00,REGULAR,12195802,11769987
144620,R168A,R168,00-03-02,96 ST,123,IRT,06/21/2020,01:00:00,REGULAR,12195841,11770001
144657,R169,R168,01-00-00,96 ST,123,IRT,06/20/2020,05:00:00,REGULAR,1832335,2519392
144658,R169,R168,01-00-00,96 ST,123,IRT,06/20/2020,09:00:00,REGULAR,1832335,2519431
144659,R169,R168,01-00-00,96 ST,123,IRT,06/20/2020,13:00:00,REGULAR,1832335,2519481
144660,R169,R168,01-00-00,96 ST,123,IRT,06/20/2020,17:00:00,REGULAR,1832335,2519526
144661,R169,R168,01-00-00,96 ST,123,IRT,06/20/2020,21:00:00,REGULAR,1832335,2519563
144662,R169,R168,01-00-00,96 ST,123,IRT,06/21/2020,01:00:00,REGULAR,1832335,2519590
144699,R169,R168,01-00-01,96 ST,123,IRT,06/20/2020,05:00:00,REGULAR,1699230,1045210
144700,R169,R168,01-00-01,96 ST,123,IRT,06/20/2020,09:00:00,REGULAR,1699251,1045223
144701,R169,R168,01-00-01,96 ST,123,IRT,06/20/2020,13:00:00,REGULAR,1699285,1045251
144702,R169,R168,01-00-01,96 ST,123,IRT,06/20/2020,17:00:00,REGULAR,1699336,1045281
144703,R169,R168,01-00-01,96 ST,123,IRT,06/20/2020,21:00:00,REGULAR,1699370,1045301
144704,R169,R168,01-00-01,96 ST,123,IRT,06/21/2020,01:00:00,REGULAR,1699388,1045311
144741,R169,R168,01-00-02,96 ST,123,IRT,06/20/2020,05:00:00,REGULAR,628970,464115
144742,R169,R168,01-00-02,96 ST,123,IRT,06/20/2020,09:00:00,REGULAR,628982,464129
144743,R169,R168,01-00-02,96 ST,123,IRT,06/20/2020,13:00:00,REGULAR,629006,464147
144744,R169,R168,01-00-02,96 ST,123,IRT,06/20/2020,17:00:00,REGULAR,629039,464182
